,HallwayType,TimeToSubway,SubwayStation,N_FacilitiesNearBy(ETC),N_FacilitiesNearBy(PublicOffice),N_SchoolNearBy(University),N_Parkinglot(Basement),YearBuilt,N_FacilitiesInApt,Size(sqf),SalePrice,AptAge
1770,terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986.0,4.0,914.0,153982,29.0
1771,terraced,0-5min,Myung-duk,2.0,3.0,1.0,181.0,2006.0,4.0,903.0,302654,9.0
1773,corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,1992.0,3.0,355.0,49115,23.0
1776,terraced,0-5min,Myung-duk,5.0,7.0,5.0,1174.0,2014.0,9.0,640.0,203539,1.0
1778,terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006.0,5.0,818.0,194690,9.0
1779,terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006.0,5.0,1149.0,262389,9.0
1780,terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,2008.0,8.0,914.0,176991,7.0
1781,terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,2007.0,4.0,1394.0,230088,8.0
1782,corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,1992.0,3.0,576.0,69026,23.0
1783,mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005.0,7.0,572.0,205752,10.0
1787,terraced,10min~15min,Kyungbuk_uni_hospital,1.0,2.0,2.0,184.0,2006.0,5.0,636.0,119469,9.0
1789,terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986.0,4.0,1131.0,294690,29.0
1790,mixed,15min~20min,Myung-duk,1.0,5.0,4.0,79.0,1992.0,3.0,644.0,118584,23.0
1791,mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005.0,7.0,914.0,161061,10.0
1792,mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005.0,7.0,572.0,161946,10.0
1793,terraced,5min~10min,no_subway_nearby,0.0,1.0,1.0,1321.0,2015.0,10.0,910.0,356637,0.0
1798,mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993.0,4.0,1761.0,181415,22.0
1799,mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005.0,7.0,743.0,232743,10.0
1800,terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006.0,5.0,914.0,200000,9.0
1801,terraced,0-5min,Banwoldang,0.0,0.0,0.0,203.0,2014.0,10.0,1252.0,471504,1.0
1805,terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986.0,4.0,1131.0,207964,29.0
1808,mixed,15min~20min,Chil-sung-market,1.0,7.0,3.0,56.0,1997.0,5.0,644.0,128318,18.0
1809,terraced,0-5min,Myung-duk,5.0,7.0,5.0,1174.0,2014.0,9.0,1291.0,429203,1.0
1810,corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,1992.0,3.0,576.0,99115,23.0
1811,mixed,15min~20min,Myung-duk,1.0,5.0,4.0,79.0,1992.0,3.0,914.0,150000,23.0
1813,terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,2007.0,4.0,1103.0,207964,8.0
1814,terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006.0,5.0,1412.0,238053,9.0
1816,mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005.0,7.0,743.0,137168,10.0
1817,terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007.0,10.0,1387.0,371681,8.0
1818,terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007.0,10.0,1519.0,361061,8.0
1820,terraced,0-5min,Myung-duk,2.0,3.0,1.0,181.0,2006.0,4.0,903.0,185398,9.0
1822,mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005.0,7.0,743.0,138053,10.0
1823,terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007.0,10.0,1519.0,504424,8.0
1825,terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,2013.0,7.0,910.0,307079,2.0
1828,mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993.0,4.0,644.0,185840,22.0
1830,corridor,5min~10min,Banwoldang,0.0,3.0,2.0,108.0,2014.0,2.0,288.0,96017,1.0
1832,corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,1992.0,3.0,640.0,112389,23.0
1833,mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993.0,4.0,1761.0,256637,22.0
1834,terraced,0-5min,Myung-duk,5.0,7.0,5.0,1174.0,2014.0,9.0,846.0,310619,1.0
1835,corridor,5min~10min,Sin-nam,1.0,5.0,2.0,18.0,1986.0,3.0,508.0,66371,29.0
1836,terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007.0,10.0,868.0,311504,8.0
1837,terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,2008.0,8.0,829.0,202654,7.0
1838,terraced,5min~10min,Daegu,0.0,3.0,2.0,400.0,2015.0,7.0,644.0,254867,0.0
1839,terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,2008.0,8.0,914.0,227433,7.0
1840,corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,1992.0,3.0,355.0,48053,23.0
1843,terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007.0,10.0,868.0,274336,8.0
1845,mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993.0,4.0,914.0,128318,22.0
1846,mixed,15min~20min,Myung-duk,1.0,5.0,4.0,79.0,1992.0,3.0,644.0,154159,23.0
1847,terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007.0,10.0,868.0,202654,8.0
1851,corridor,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,0.0,1978.0,3.0,871.0,161061,37.0
1852,terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,2007.0,4.0,1103.0,286725,8.0
1853,corridor,5min~10min,Daegu,2.0,5.0,0.0,76.0,1985.0,3.0,587.0,93362,30.0
1854,terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007.0,10.0,1643.0,362831,8.0
1855,mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993.0,4.0,914.0,161061,22.0
1858,terraced,10min~15min,Kyungbuk_uni_hospital,1.0,2.0,2.0,184.0,2006.0,5.0,814.0,178318,9.0
1859,mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993.0,4.0,644.0,178761,22.0
1860,terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007.0,10.0,1803.0,445132,8.0
1861,mixed,15min~20min,Chil-sung-market,1.0,7.0,3.0,56.0,1997.0,5.0,914.0,119469,18.0
1863,terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986.0,4.0,1803.0,230088,29.0
1864,terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986.0,4.0,1131.0,217699,29.0
1868,mixed,15min~20min,Myung-duk,1.0,5.0,4.0,79.0,1992.0,3.0,914.0,218584,23.0
1869,terraced,10min~15min,Kyungbuk_uni_hospital,1.0,2.0,2.0,184.0,2006.0,5.0,811.0,234513,9.0
1871,terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006.0,5.0,1437.0,300000,9.0
1872,terraced,0-5min,Myung-duk,5.0,7.0,5.0,1174.0,2014.0,9.0,914.0,349557,1.0
1873,mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993.0,4.0,914.0,206194,22.0
1877,terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007.0,10.0,1643.0,515929,8.0
1878,terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986.0,4.0,1796.0,223008,29.0
1880,mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993.0,4.0,1288.0,159292,22.0
1882,corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,1992.0,3.0,640.0,64601,23.0
1883,terraced,0-5min,Banwoldang,0.0,4.0,1.0,605.0,2007.0,5.0,1273.0,336283,8.0
1884,corridor,5min~10min,no_subway_nearby,1.0,4.0,1.0,218.0,2014.0,1.0,156.0,61504,1.0
1885,mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005.0,7.0,572.0,112566,10.0
1886,terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006.0,5.0,818.0,207964,9.0
1889,terraced,no_bus_stop_nearby,no_subway_nearby,2.0,2.0,1.0,203.0,2009.0,5.0,910.0,219469,6.0
1892,terraced,10min~15min,Kyungbuk_uni_hospital,1.0,2.0,2.0,184.0,2006.0,5.0,910.0,191150,9.0
1893,terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006.0,5.0,1803.0,331858,9.0
1895,terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007.0,10.0,1803.0,522123,8.0
1897,terraced,5min~10min,Daegu,0.0,3.0,2.0,400.0,2015.0,7.0,644.0,282300,0.0
1899,terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006.0,5.0,818.0,262831,9.0
1900,terraced,0-5min,Banwoldang,0.0,4.0,1.0,605.0,2007.0,5.0,1273.0,380530,8.0
1903,corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,1992.0,3.0,576.0,82300,23.0
1904,terraced,0-5min,Myung-duk,5.0,7.0,5.0,1174.0,2014.0,9.0,843.0,310176,1.0
1907,corridor,5min~10min,Banwoldang,0.0,3.0,2.0,108.0,2014.0,2.0,288.0,93097,1.0
1908,corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,1992.0,3.0,355.0,32743,23.0
1909,mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005.0,7.0,743.0,143805,10.0
1910,mixed,15min~20min,Chil-sung-market,1.0,7.0,3.0,56.0,1997.0,5.0,644.0,166371,18.0
1912,terraced,10min~15min,Kyungbuk_uni_hospital,1.0,2.0,2.0,184.0,2006.0,5.0,636.0,203539,9.0
1914,mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993.0,4.0,1451.0,168141,22.0
1917,mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993.0,4.0,644.0,135398,22.0
1918,terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,2013.0,7.0,910.0,244911,2.0
1920,terraced,0-5min,Banwoldang,0.0,4.0,1.0,605.0,2007.0,5.0,1273.0,371681,8.0
1921,terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,2008.0,8.0,829.0,252212,7.0
1922,mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993.0,4.0,644.0,130973,22.0
1923,terraced,0-5min,Myung-duk,2.0,3.0,1.0,181.0,2006.0,4.0,857.0,218584,9.0
1926,terraced,10min~15min,Kyungbuk_uni_hospital,1.0,2.0,2.0,184.0,2006.0,5.0,811.0,300000,9.0
1927,terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007.0,10.0,1803.0,429203,8.0
1928,corridor,5min~10min,no_subway_nearby,1.0,4.0,1.0,218.0,2014.0,1.0,156.0,55752,1.0
1929,terraced,5min~10min,no_subway_nearby,0.0,1.0,1.0,1321.0,2015.0,10.0,644.0,299115,0.0
1930,mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993.0,4.0,644.0,97345,22.0
1931,mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993.0,4.0,644.0,153982,22.0
1932,terraced,0-5min,Myung-duk,5.0,7.0,5.0,1174.0,2014.0,9.0,846.0,314159,1.0
1934,terraced,0-5min,Myung-duk,2.0,3.0,1.0,181.0,2006.0,4.0,857.0,199115,9.0
1935,corridor,5min~10min,Daegu,2.0,5.0,0.0,76.0,1985.0,3.0,587.0,109734,30.0
1937,terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,2008.0,8.0,829.0,199115,7.0
1940,mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005.0,7.0,743.0,235398,10.0
1942,mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005.0,7.0,1184.0,309734,10.0
1943,terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,2007.0,4.0,1419.0,229203,8.0
1944,corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,1992.0,3.0,576.0,109734,23.0
1945,terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,2008.0,8.0,914.0,169911,7.0
1949,terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,2007.0,4.0,1419.0,349557,8.0
1950,mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993.0,4.0,1761.0,305309,22.0
1952,terraced,no_bus_stop_nearby,no_subway_nearby,2.0,2.0,1.0,203.0,2009.0,5.0,910.0,192920,6.0
1954,terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,2007.0,4.0,914.0,165486,8.0
1955,corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,1992.0,3.0,640.0,54867,23.0
1956,terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986.0,4.0,914.0,130973,29.0
1957,terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006.0,5.0,1743.0,292035,9.0
1958,mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005.0,7.0,743.0,251327,10.0
1960,terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,2007.0,4.0,1419.0,253097,8.0
1961,terraced,0-5min,Myung-duk,2.0,3.0,1.0,181.0,2006.0,4.0,857.0,265486,9.0
1962,mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993.0,4.0,914.0,155752,22.0
1963,terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007.0,10.0,868.0,340707,8.0
1965,terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,2007.0,4.0,1394.0,407079,8.0
1967,terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,2007.0,4.0,1419.0,259292,8.0
1973,corridor,5min~10min,Daegu,2.0,5.0,0.0,76.0,1985.0,3.0,676.0,94955,30.0
1974,terraced,0-5min,Myung-duk,5.0,7.0,5.0,1174.0,2014.0,9.0,640.0,246017,1.0
1976,corridor,5min~10min,no_subway_nearby,1.0,4.0,1.0,218.0,2014.0,1.0,138.0,54867,1.0
1978,terraced,0-5min,Myung-duk,2.0,3.0,1.0,181.0,2006.0,4.0,903.0,207079,9.0
1980,terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006.0,5.0,914.0,238053,9.0
1981,terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,2008.0,8.0,829.0,200884,7.0
1983,terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007.0,10.0,868.0,308849,8.0
1984,terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007.0,10.0,1643.0,356637,8.0
1985,terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,2007.0,4.0,1366.0,272566,8.0
1986,terraced,5min~10min,no_subway_nearby,0.0,1.0,1.0,1321.0,2015.0,10.0,910.0,413716,0.0
1990,mixed,15min~20min,Myung-duk,1.0,5.0,4.0,79.0,1992.0,3.0,644.0,115044,23.0
1997,mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993.0,4.0,644.0,179646,22.0
1998,terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007.0,10.0,1643.0,526548,8.0
1999,terraced,5min~10min,no_subway_nearby,0.0,1.0,1.0,1321.0,2015.0,10.0,644.0,305309,0.0
2001,terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986.0,4.0,1131.0,164601,29.0
2002,mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993.0,4.0,644.0,150442,22.0
2003,terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986.0,4.0,1313.0,159292,29.0
2005,terraced,0-5min,Myung-duk,2.0,3.0,1.0,181.0,2006.0,4.0,903.0,174336,9.0
2006,terraced,0-5min,Myung-duk,5.0,7.0,5.0,1174.0,2014.0,9.0,914.0,366371,1.0
2008,mixed,15min~20min,Myung-duk,1.0,5.0,4.0,79.0,1992.0,3.0,914.0,115044,23.0
2009,mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993.0,4.0,644.0,132743,22.0
2010,corridor,5min~10min,Banwoldang,0.0,3.0,2.0,108.0,2014.0,2.0,213.0,74778,1.0
2011,terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,2008.0,8.0,914.0,211150,7.0
2012,terraced,0-5min,Myung-duk,5.0,7.0,5.0,1174.0,2014.0,9.0,914.0,334513,1.0
2013,terraced,0-5min,Myung-duk,5.0,7.0,5.0,1174.0,2014.0,9.0,843.0,307964,1.0
2015,terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007.0,10.0,1643.0,517699,8.0
2019,terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,2007.0,4.0,914.0,207079,8.0
2020,terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006.0,5.0,1803.0,460176,9.0
2021,terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,2007.0,4.0,914.0,192920,8.0
2023,terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,2008.0,8.0,829.0,214159,7.0
2024,terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,2008.0,8.0,829.0,176991,7.0
2026,corridor,5min~10min,Banwoldang,0.0,3.0,2.0,108.0,2014.0,2.0,288.0,101327,1.0
2027,corridor,5min~10min,Daegu,2.0,5.0,0.0,76.0,1985.0,3.0,587.0,61946,30.0
2030,terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,2013.0,7.0,910.0,336283,2.0
2031,terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006.0,5.0,1149.0,376106,9.0
2033,terraced,no_bus_stop_nearby,no_subway_nearby,2.0,2.0,1.0,203.0,2009.0,5.0,910.0,276991,6.0
2034,terraced,0-5min,Myung-duk,2.0,3.0,1.0,181.0,2006.0,4.0,903.0,180973,9.0
2036,mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993.0,4.0,644.0,80530,22.0
2037,terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006.0,5.0,914.0,194690,9.0
2039,mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993.0,4.0,644.0,149115,22.0
2041,terraced,no_bus_stop_nearby,no_subway_nearby,2.0,2.0,1.0,203.0,2009.0,5.0,910.0,161061,6.0
2043,terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006.0,5.0,914.0,294690,9.0
2045,mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993.0,4.0,1803.0,185840,22.0
2048,terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986.0,4.0,1803.0,221238,29.0
2049,mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993.0,4.0,644.0,157079,22.0
2050,corridor,5min~10min,no_subway_nearby,1.0,4.0,1.0,218.0,2014.0,1.0,163.0,60176,1.0
2051,corridor,5min~10min,Daegu,2.0,5.0,0.0,76.0,1985.0,3.0,587.0,92920,30.0
2056,mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005.0,7.0,572.0,73008,10.0
2057,terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007.0,10.0,1643.0,398230,8.0
2059,mixed,15min~20min,Myung-duk,1.0,5.0,4.0,79.0,1992.0,3.0,1448.0,169911,23.0
2060,terraced,10min~15min,Kyungbuk_uni_hospital,1.0,2.0,2.0,184.0,2006.0,5.0,910.0,253982,9.0
2062,corridor,5min~10min,no_subway_nearby,1.0,4.0,1.0,218.0,2014.0,1.0,135.0,54424,1.0
2064,terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007.0,10.0,868.0,326548,8.0
2067,terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007.0,10.0,1643.0,293238,8.0
2069,terraced,0-5min,Myung-duk,5.0,7.0,5.0,1174.0,2014.0,9.0,640.0,241592,1.0
2070,terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006.0,5.0,818.0,205309,9.0
2072,terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,2008.0,8.0,829.0,222123,7.0
2073,terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986.0,4.0,1131.0,268141,29.0
2075,terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006.0,5.0,818.0,211504,9.0
2076,mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005.0,7.0,914.0,273451,10.0
2077,terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,2008.0,8.0,914.0,212389,7.0
2080,terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986.0,4.0,1313.0,176106,29.0
2081,mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005.0,7.0,914.0,201769,10.0
2082,terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007.0,10.0,1387.0,327433,8.0
2083,terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006.0,5.0,1437.0,279646,9.0
2084,corridor,5min~10min,Banwoldang,0.0,3.0,2.0,108.0,2014.0,2.0,288.0,103982,1.0
2085,mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993.0,4.0,1803.0,353982,22.0
2086,corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,1992.0,3.0,355.0,61946,23.0
2089,terraced,10min~15min,Kyungbuk_uni_hospital,1.0,2.0,2.0,184.0,2006.0,5.0,910.0,339823,9.0
2090,terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007.0,10.0,1803.0,501769,8.0
2091,terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,2013.0,7.0,907.0,345132,2.0
2092,terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007.0,10.0,1643.0,423008,8.0
2093,corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,1992.0,3.0,576.0,91592,23.0
2094,terraced,0-5min,Banwoldang,0.0,4.0,1.0,605.0,2007.0,5.0,1444.0,313274,8.0
2099,corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,1992.0,3.0,355.0,40088,23.0
2100,terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007.0,10.0,1519.0,530973,8.0
2101,mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005.0,7.0,914.0,228761,10.0
2105,terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007.0,10.0,1643.0,486725,8.0
2106,terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007.0,10.0,1387.0,480530,8.0
2107,terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007.0,10.0,1387.0,351769,8.0
2109,terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,2008.0,8.0,829.0,197345,7.0
2110,terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,2008.0,8.0,914.0,307964,7.0
2111,mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005.0,7.0,743.0,142920,10.0
2112,mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005.0,7.0,914.0,163716,10.0
2113,terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,2008.0,8.0,829.0,196460,7.0
2114,corridor,5min~10min,Daegu,2.0,5.0,0.0,76.0,1985.0,3.0,587.0,79646,30.0
2115,mixed,15min~20min,Chil-sung-market,1.0,7.0,3.0,56.0,1997.0,5.0,644.0,172566,18.0
2118,corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,1992.0,3.0,576.0,65929,23.0
2120,mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993.0,4.0,1803.0,176991,22.0
2123,terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006.0,5.0,1803.0,415929,9.0
2124,mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993.0,4.0,1803.0,202654,22.0
2125,terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007.0,10.0,868.0,200884,8.0
2128,terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007.0,10.0,1803.0,585840,8.0
2129,terraced,no_bus_stop_nearby,no_subway_nearby,2.0,2.0,1.0,203.0,2009.0,5.0,1160.0,345132,6.0
2130,corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,1992.0,3.0,355.0,73893,23.0
2131,terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986.0,4.0,1377.0,176106,29.0
2132,terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006.0,5.0,1743.0,415929,9.0
2134,corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,1992.0,3.0,355.0,37610,23.0
2135,corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,1992.0,3.0,576.0,84070,23.0
2137,terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,2008.0,8.0,829.0,159292,7.0
2140,corridor,5min~10min,Sin-nam,1.0,5.0,2.0,18.0,1986.0,3.0,508.0,109734,29.0
2141,terraced,10min~15min,Kyungbuk_uni_hospital,1.0,2.0,2.0,184.0,2006.0,5.0,910.0,232743,9.0
2142,terraced,0-5min,Banwoldang,0.0,4.0,1.0,605.0,2007.0,5.0,1483.0,384955,8.0
2145,terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986.0,4.0,914.0,146902,29.0
2146,terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986.0,4.0,1313.0,284070,29.0
2147,terraced,10min~15min,Kyungbuk_uni_hospital,1.0,2.0,2.0,184.0,2006.0,5.0,814.0,280530,9.0
2148,terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986.0,4.0,1796.0,363716,29.0
2152,terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,2007.0,4.0,1369.0,261061,8.0
2155,mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005.0,7.0,743.0,136725,10.0
2156,terraced,no_bus_stop_nearby,no_subway_nearby,2.0,2.0,1.0,203.0,2009.0,5.0,910.0,185840,6.0
2157,terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006.0,5.0,914.0,308849,9.0
2158,corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,1992.0,3.0,576.0,119026,23.0
2160,terraced,0-5min,Myung-duk,5.0,7.0,5.0,1174.0,2014.0,9.0,910.0,334955,1.0
2162,terraced,0-5min,Myung-duk,2.0,3.0,1.0,181.0,2006.0,4.0,1192.0,230088,9.0
2163,terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007.0,10.0,868.0,190265,8.0
